YearOlympic,OlympicName,OlympicCountry,OlympicCity,WinnerName,WinnerNationality,WinnerDateBirth,WinnerGender,Sport,Discipline,Medal
2008,2008 Summergames Beijing,China,Beijing,Rebecca Adlington,Great Britain,NULL,Woman,Swimming,400m freestyle,Gold
2008,2008 Summergames Beijing,China,Beijing,Rebecca Adlington,Great Britain,NULL,Woman,Swimming,800m freestyle,Gold
2008,2008 Summergames Beijing,China,Beijing,Xiao Qin,China,NULL,Man,Gymnastics,Pommel horse,Gold
2008,2008 Summergames Beijing,China,Beijing,Xiao Qin,China,NULL,Man,Gymnastics,Team all-around,Gold
2008,2008 Summergames Beijing,China,Beijing,Xiaopeng Li,China,NULL,Man,Gymnastics,Parallel bars,Gold
2008,2008 Summergames Beijing,China,Beijing,Xiaopeng Li,China,NULL,Man,Gymnastics,Team all-around,Gold
2008,2008 Summergames Beijing,China,Beijing,Zhang Yining,China,NULL,Woman,Table Tennis,Singles,Gold
2008,2008 Summergames Beijing,China,Beijing,Zhang Yining,China,NULL,Woman,Table Tennis,Teams,Gold
2008,2008 Summergames Beijing,China,Beijing,Nastia Liukin,United States,NULL,Woman,Gymnastics,Individual all-around,Gold
2008,2008 Summergames Beijing,China,Beijing,Nastia Liukin,United States,NULL,Woman,Gymnastics,Uneven bars,Silver
2008,2008 Summergames Beijing,China,Beijing,Nastia Liukin,United States,NULL,Woman,Gymnastics,Balance beam,Silver
2008,2008 Summergames Beijing,China,Beijing,Nastia Liukin,United States,NULL,Woman,Gymnastics,Team all-around,Silver
2008,2008 Summergames Beijing,China,Beijing,Nastia Liukin,United States,NULL,Woman,Gymnastics,Floor,Broze
2008,2008 Summergames Beijing,China,Beijing,Kirsty Coventry,Zimbabwe,NULL,Woman,Swimming,200m backstroke,Gold
2008,2008 Summergames Beijing,China,Beijing,Kirsty Coventry,Zimbabwe,NULL,Woman,Swimming,100m backstroke,Silver
2008,2008 Summergames Beijing,China,Beijing,Kirsty Coventry,Zimbabwe,NULL,Woman,Swimming,200m medley,Silver
2008,2008 Summergames Beijing,China,Beijing,Kirsty Coventry,Zimbabwe,NULL,Woman,Swimming,400m medley,Silver
2008,2008 Summergames Beijing,China,Beijing,Shawn Johnson,United States,NULL,Woman,Gymnastics,Balance beam,Gold
2008,2008 Summergames Beijing,China,Beijing,Shawn Johnson,United States,NULL,Woman,Gymnastics,Individual all-around,Silver
2008,2008 Summergames Beijing,China,Beijing,Shawn Johnson,United States,NULL,Woman,Gymnastics,Floor,Silver
2008,2008 Summergames Beijing,China,Beijing,Shawn Johnson,United States,NULL,Woman,Gymnastics,Team all-around,Silver
2008,2008 Summergames Beijing,China,Beijing,Natalie Coughlin,United States,NULL,Woman,Swimming,100m backstroke,Gold
2008,2008 Summergames Beijing,China,Beijing,Natalie Coughlin,United States,NULL,Woman,Swimming,4 x 100m freestyle relay,Silver
2008,2008 Summergames Beijing,China,Beijing,Natalie Coughlin,United States,NULL,Woman,Swimming,4 x 100m medley relay,Silver
2008,2008 Summergames Beijing,China,Beijing,Natalie Coughlin,United States,NULL,Woman,Swimming,100m freestyle,Broze
2008,2008 Summergames Beijing,China,Beijing,Natalie Coughlin,United States,NULL,Woman,Swimming,200m medley,Broze
2008,2008 Summergames Beijing,China,Beijing,Natalie Coughlin,United States,NULL,Woman,Swimming,4 x 200m freestyle relay,Broze
2008,2008 Summergames Beijing,China,Beijing,Rebecca Soni,United States,NULL,Woman,Swimming,200m breaststroke,Gold
2008,2008 Summergames Beijing,China,Beijing,Rebecca Soni,United States,NULL,Woman,Swimming,100m breaststroke,Silver
2008,2008 Summergames Beijing,China,Beijing,Rebecca Soni,United States,NULL,Woman,Swimming,4 x 100m medley relay,Silver
2008,2008 Summergames Beijing,China,Beijing,Alain Bernard,France,NULL,Man,Swimming,100m freestyle,Gold
2008,2008 Summergames Beijing,China,Beijing,Alain Bernard,France,NULL,Man,Swimming,4 x 100m freestyle relay,Silver
2008,2008 Summergames Beijing,China,Beijing,Alain Bernard,France,NULL,Man,Swimming,50m freestyle,Broze
2008,2008 Summergames Beijing,China,Beijing,Anky van Grunsven,Netherlands,NULL,Woman,Equestrian,Dressage individual,Gold
2008,2008 Summergames Beijing,China,Beijing,Anky van Grunsven,Netherlands,NULL,Woman,Equestrian,Dressage team,Silver
2008,2008 Summergames Beijing,China,Beijing,Allyson Felix,United States,NULL,Woman,Athletics,4 x 400 m relay,Gold
2008,2008 Summergames Beijing,China,Beijing,Allyson Felix,United States,NULL,Woman,Athletics,200 metres,Silver
2008,2008 Summergames Beijing,China,Beijing,Jason Kenny,Great Britain,NULL,Man,Cycling,Olympic sprint,Gold
2008,2008 Summergames Beijing,China,Beijing,Jason Kenny,Great Britain,NULL,Man,Cycling,Sprint,Silver
2008,2008 Summergames Beijing,China,Beijing,Jin Jong-Oh,South Korea,NULL,Man,Shooting,Free pistol,Gold
2008,2008 Summergames Beijing,China,Beijing,Jin Jong-Oh,South Korea,NULL,Man,Shooting,Air pistol,Silver
2008,2008 Summergames Beijing,China,Beijing,Juan Llaneras,Spain,NULL,Man,Cycling,Points race,Gold
2008,2008 Summergames Beijing,China,Beijing,Juan Llaneras,Spain,NULL,Man,Cycling,Madison,Silver
2008,2008 Summergames Beijing,China,Beijing,Jeremy Wariner,United States,NULL,Man,Athletics,4 x 400 m relay,Gold
2008,2008 Summergames Beijing,China,Beijing,Jeremy Wariner,United States,NULL,Man,Athletics,400 metres,Silver
2008,2008 Summergames Beijing,China,Beijing,Isabelle Werth,Germany,NULL,Woman,Equestrian,Dressage team,Gold
2008,2008 Summergames Beijing,China,Beijing,Isabelle Werth,Germany,NULL,Woman,Equestrian,Dressage individual,Silver
2008,2008 Summergames Beijing,China,Beijing,Eric Lamaze,Canada,NULL,Man,Equestrian,Jumping individual,Gold
2008,2008 Summergames Beijing,China,Beijing,Eric Lamaze,Canada,NULL,Man,Equestrian,Jumping team,Silver
2008,2008 Summergames Beijing,China,Beijing,Fabrice Jeannet,France,NULL,Man,Fencing,Épée team,Gold
2008,2008 Summergames Beijing,China,Beijing,Fabrice Jeannet,France,NULL,Man,Fencing,Épée,Silver
2008,2008 Summergames Beijing,China,Beijing,Fabian Cancellara,Switzerland,NULL,Man,Cycling,Time trial road,Gold
2008,2008 Summergames Beijing,China,Beijing,Fabian Cancellara,Switzerland,NULL,Man,Cycling,Road race,Silver
2008,2008 Summergames Beijing,China,Beijing,Natasa Janics,Hungary,NULL,Woman,Canoeing,K-2 500 metres,Gold
2008,2008 Summergames Beijing,China,Beijing,Natasa Janics,Hungary,NULL,Woman,Canoeing,K-4 500 metres,Silver
2008,2008 Summergames Beijing,China,Beijing,Park Kyung-Mo,South Korea,NULL,Man,Archery,Team,Gold
2008,2008 Summergames Beijing,China,Beijing,Park Kyung-Mo,South Korea,NULL,Man,Archery,Individual,Silver
2008,2008 Summergames Beijing,China,Beijing,Park Sung-Hyun,South Korea,NULL,Woman,Archery,Team,Gold
2008,2008 Summergames Beijing,China,Beijing,Park Sung-Hyun,South Korea,NULL,Woman,Archery,Individual,Silver
